unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession
1,Wadephul,Johann David,Dr.,NA,https://www.facebook.com/johann.wadephul/,NA,https://twitter.com/JoWadephul,1,1,1,4,Rendsburg-Eckernförde,1,1,1,1,1963,Molfsee,Husum,MdB / Rechtsanwalt
2,Brackmann,Norbert,NA,NA,https://www.facebook.com/NorbertBrackmann/,https://www.facebook.com/profile.php?id=100008396414746,NA,1,2,1,10,Herzogtum Lauenburg – Stormarn-Süd,1,1,1,1,1954,Lauenburg/ Elbe,Lauenburg/ Elbe,MdB / Jurist
3,Gädechens,Ingo,NA,NA,https://www.facebook.com/ingo.gaedechens,https://www.facebook.com/FanpageIngoGaedechens,NA,1,3,1,9,Ostholstein – Stormarn-Nord,1,1,1,1,1960,Fehmarn,Lübeck,MdB / Berufssoldat a. D.
4,Storjohann,Gero,NA,NA,https://www.facebook.com/g.storjohann/,https://www.facebook.com/gero.storjohann,https://twitter.com/gero_storjohann,1,4,1,8,Segeberg – Stormarn-Mitte,1,1,1,1,1958,Seth,Bad Segeberg,MdB / Dipl.-Betriebswirt (FH)
5,Damerow,Astrid,NA,NA,https://www.facebook.com/astrid.damerow,NA,NA,1,5,1,2,Nordfriesland – Dithmarschen Nord,1,0,1,0,1958,Karlum,Bonndorf im Schwarzwald,geschäftsf. Gesellschafterin Coaching und Beratung
6,Stritzl,Thomas,NA,NA,https://www.facebook.com/MdB.Stritzl/,https://www.facebook.com/thomas.stritzl,NA,1,6,1,5,Kiel,1,1,1,1,1957,Kiel,Hamburg,MdB / Rechtsanwalt
7,Helfrich,Mark,NA,NA,https://www.facebook.com/markhelfrich.de/,https://www.facebook.com/mark.helfrich.50,NA,1,7,1,3,Steinburg – Dithmarschen Süd,1,1,1,1,1978,Dägeling,Itzehoe,MdB / Betriebswirt
8,Bernstein,Melanie,NA,NA,https://www.facebook.com/melaniebernstein.cdu/,https://www.facebook.com/mela.bernstein,https://twitter.com/mela_bernstein,1,8,1,6,Plön – Neumünster,1,0,1,0,1976,Wahlstedt,Buchholz in der Nordheide,Kulturwissenschaftlerin
9,Schmidtke,Claudia,Prof. Dr.,NA,https://www.facebook.com/profile.php?id=100015234429413,https://www.facebook.com/Prof.Dr.ClaudiaSchmidtke/,NA,1,9,1,11,Lübeck,1,0,1,0,1966,Lübeck,Neumünster,Ärztin
10,Abercron,Michael,Dr.,von,https://www.facebook.com/mvabercron/,https://www.facebook.com/michael.vonabercron.3,https://twitter.com/mvabercron,1,10,1,7,Pinneberg,1,0,1,1,1952,Elmshorn,Ehlerstorf,Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer
11,Steiner,Dagmar,Dr.,NA,https://www.facebook.com/dagsteiner,NA,NA,1,11,0,NA,NA,1,0,1,0,1964,Hasloh,Berlin-Zehlendorf,Ärztin
12,Schmachtenberg,Max,NA,NA,https://www.facebook.com/max.schmachtenberg.9,NA,https://twitter.com/max_schmachti,1,12,0,NA,NA,1,0,1,1,1987,Kiel,Kaiserslautern,Angestellter
13,Gaarz,Timo,NA,NA,https://www.facebook.com/timo.gaarz,NA,https://twitter.com/timogaarz,1,13,0,NA,NA,1,0,1,1,1977,Heiligenhafen,Oldenburg in Holstein,Dipl.-Finanzwirt (FH)
14,Rönnau,Stefanie,Dr.,NA,NA,NA,NA,1,14,0,NA,NA,1,0,1,0,1970,Kiel,Kiel,ltd. Angestellte
15,Sölter,Nicolas,NA,NA,https://www.facebook.com/nicolas.solter,NA,https://twitter.com/nsoelter,1,15,0,NA,NA,1,0,1,1,1988,Elmshorn,Elmshorn,Rechtsreferendar
